caseIndex,scenario,seed,variability,controlLanded,rankedLanded,landingChange,controlContactQuality,rankedContactQuality,failedQualityChange,controlScore,rankedScore,controlFitness,rankedFitness,controlReason,rankedReason
0,0,98753027,0,true,true,0,1,1,"",80.19045523926877,87.9444760662846,71.95675040466557,73.128652028387,"Touchdown","Touchdown"
1,1,98857756,0,true,true,0,1,1,"",72.19069418223185,82.43475808803004,68.49186314255081,73.17497630592315,"Touchdown","Touchdown"
2,2,98962485,0,true,true,0,1,1,"",17.691725958841232,45.162996739147,11.397738833063062,35.05011535763808,"Touchdown","Touchdown"
3,3,99067214,0,true,true,0,1,1,"",26.218165876040672,52.6264490376609,13.781170470390984,11.85243667523622,"Touchdown","Touchdown"
4,4,99171943,0,true,false,-1,1,0.7441451426130802,"",15.451486607178353,-104.58845014453627,-8.328898933888773,-104.58845014453627,"Touchdown","Lateral impact"
5,5,99276672,0,false,true,1,0.8891431685158449,1,"",-144.86851691318054,37.304473893222266,-144.86851691318054,10.702497422909076,"Missed the ship","Touchdown"
6,6,99381401,0,false,true,1,0.8509901548213513,1,"",-127.50808109237968,48.88575602479596,-127.50808109237968,3.6304362757497657,"Lateral impact","Touchdown"
7,7,99486130,0,false,false,0,0.6184887093270844,0.9328255020566919,0.31433679272960746,-126.89476972120326,-100.39521428898577,-126.89476972120326,-100.39521428898577,"Lateral impact","Missed the ship"
8,8,99590859,0,true,true,0,1,1,"",40.86714371215718,58.91691260427933,34.960336383672285,44.49263833256344,"Touchdown","Touchdown"
9,9,99695588,0,true,true,0,1,1,"",26.141049554026267,51.653464872483724,16.03935951139786,28.02243022890866,"Touchdown","Touchdown"
10,10,99800317,0,true,true,0,1,1,"",32.63817095310446,55.87357645303728,23.673192913335765,33.385588804617306,"Touchdown","Touchdown"
11,11,99905046,0,true,true,0,1,1,"",19.003213788929656,45.681683442197475,-1.452662744225627,19.224126359999335,"Touchdown","Touchdown"
12,12,100009775,0,true,true,0,1,1,"",25.071313956241667,49.91061875572346,17.373156087723093,37.40681497047494,"Touchdown","Touchdown"
13,13,100114504,0,false,false,0,0.1697329508853518,0.20268120520522015,0.032948254319868336,-188.36629618744337,-148.26269806348145,-188.36629618744337,-148.26269806348145,"Missed the ship","Missed the ship"
14,14,100219233,0,true,true,0,1,1,"",54.577804011688876,62.48976311349865,52.29070693520883,59.539360056494466,"Touchdown","Touchdown"
15,15,100323962,0,true,true,0,1,1,"",37.10462211923159,60.625151947402,23.35415793930934,49.808792736244,"Touchdown","Touchdown"
16,16,100428691,0,true,true,0,1,1,"",21.310973790733826,49.100221192915996,13.075410719915187,30.856434055303787,"Touchdown","Touchdown"
17,17,100533420,0,true,true,0,1,1,"",15.325209238223081,45.569133314588136,7.807783233792925,34.08555489068337,"Touchdown","Touchdown"
18,18,100638149,0,false,true,1,0,1,"",-169.46334328682028,21.1558771225272,-169.46334328682028,1.846159279306658,"Approach timed out","Touchdown"
19,19,100742878,0,false,false,0,0.9027533805989649,0.922958163198303,0.02020478259933811,-144.1104962802014,-111.57453296147388,-144.1104962802014,-111.57453296147388,"Attitude at impact","Missed the ship"
20,20,100847607,0,true,true,0,1,1,"",27.880850785025373,55.52845847231028,10.730123413284026,29.113142339383433,"Touchdown","Touchdown"
21,21,100952336,0,true,true,0,1,1,"",27.50626078608579,52.90029364648506,8.378511933263674,26.78701656978999,"Touchdown","Touchdown"
22,22,101057065,0,true,true,0,1,1,"",39.01886681202443,63.16800057956808,-4.502211851742146,14.816239842448915,"Touchdown","Touchdown"
23,23,101161794,0,true,true,0,1,1,"",26.47614932205211,47.09514631653942,-17.390783623008375,19.291077395678368,"Touchdown","Touchdown"
24,0,101266523,0.4,true,true,0,1,1,"",83.70007110266693,91.07353306716955,75.03889123719253,70.07211281398263,"Touchdown","Touchdown"
