arm,caseIndex,arrivalIndex,variability,seed,scenario,activationGain,score,landed,styleBonus,styleRecovered,turnDegrees,reason,variation,touchdown,time,orbitComplete,orbits,maxAltitude,milestones,insertionQuality,insertionReward,insertionHoldQuality,insertionHoldReward,longestStrictInsertionHoldSeconds,conditionalPeriapsis,conditionalPeriapsisEligibleSeconds,strictInsertionHoldProgress,conditionalPeriapsisProgress,censored,mode,derived,trace
"""standard""",0,1,0,196417031,24,1,-483.70353666020577,false,0,false,-0.04113986199197789,"""Flight left the recovery corridor""","{""level"":0,""mass"":1,""thrust"":1,""servo"":1,""wind"":1,""deck"":1,""noise"":0}",null,154.14999999999714,false,0,12008.601614937394,"[{""name"":""Launch"",""time"":1.7500000000000009,""altitude"":4.16126340092886},{""name"":""Space"",""time"":106.64999999999714,""altitude"":816.3334401808662}]",0.8138930675728293,1176.6716810873952,0.05182883947068014,262.1946073648162,0,227.0936899802382,1.899999999999892,0,0.9157490720559174,false,"""normal""","{""weightedPhysicalScore"":-48.37035366602058,""holdReward"":262.1946073648162,""touchdownPenalty"":0,""adjustedReward"":213.82425369879562,""strictHoldDeficitSeconds"":3,""eligiblePeakPeriapsisDeficitMetres"":572.9063100197618,""hasEligibleObservation"":true,""stableOrbit"":false,""progressVersusPhysicalFlags"":{""positivePWithoutStableOrbit"":true,""positivePWithoutCompletedOrbit"":true,""positivePWithoutLanding"":true,""fullPWithoutStableOrbit"":false,""fullHWithoutStableOrbit"":false,""stableOrbitWithoutFullH"":false},""fullOrbit"":false,""deorbit"":false,""atmosphericEntry"":false,""finalApproach"":false}","{""samples"":720,""firstTime"":0,""lastTime"":153.89999999999714,""trajectoryJSONSHA256"":""e656233c7ea7e45a49b06971d580ed12ea2966b118162eea1b27599d492b5afe"",""coordinates"":""x/z deck-relative; y vehicle y"",""validation"":""Exact schema, finite arrays, action bounds, and increasing recorded pre-terminal times only"",""independentlyRegenerated"":false}"
"""standard""",1,0,0,196521760,25,1,-480.9706691594882,false,0,false,-0.07086730913735119,"""Flight left the recovery corridor""","{""level"":0,""mass"":1,""thrust"":1,""servo"":1,""wind"":1,""deck"":1,""noise"":0}",null,152.89999999999725,false,0,12046.138510288585,"[{""name"":""Launch"",""time"":1.7500000000000009,""altitude"":4.177179271978586},{""name"":""Space"",""time"":105.64999999999726,""altitude"":806.2441350278093}]",0.8064418392413911,1167.7302070896694,0.0474100258402676,256.8920310083211,0,233.40839677975146,1.4499999999999176,0,0.916677705408787,false,"""normal""","{""weightedPhysicalScore"":-48.09706691594882,""holdReward"":256.8920310083211,""touchdownPenalty"":0,""adjustedReward"":208.79496409237228,""strictHoldDeficitSeconds"":3,""eligiblePeakPeriapsisDeficitMetres"":566.5916032202485,""hasEligibleObservation"":true,""stableOrbit"":false,""progressVersusPhysicalFlags"":{""positivePWithoutStableOrbit"":true,""positivePWithoutCompletedOrbit"":true,""positivePWithoutLanding"":true,""fullPWithoutStableOrbit"":false,""fullHWithoutStableOrbit"":false,""stableOrbitWithoutFullH"":false},""fullOrbit"":false,""deorbit"":false,""atmosphericEntry"":false,""finalApproach"":false}","{""samples"":707,""firstTime"":0,""lastTime"":152.64999999999725,""trajectoryJSONSHA256"":""da8c5c72c8777ae80c5ba36deeaf9ff9013544deb6c95abd30357027162a8131"",""coordinates"":""x/z deck-relative; y vehicle y"",""validation"":""Exact schema, finite arrays, action bounds, and increasing recorded pre-terminal times only"",""independentlyRegenerated"":false}"
"""standard""",2,2,0,196626489,26,1,-488.32134639475777,false,0,false,0.0543941235554883,"""Flight left the recovery corridor""","{""level"":0,""mass"":1,""thrust"":1,""servo"":1,""wind"":1,""deck"":1,""noise"":0}",null,164.89999999999665,false,0,12044.44947273144,"[{""name"":""Launch"",""time"":1.7000000000000008,""altitude"":4.179411213294857},{""name"":""Space"",""time"":117.14999999999665,""altitude"":814.5271677522493}]",0.7891526060881351,1146.983127305762,0.04889330854306375,258.6719702516765,0,250.06190317999608,1.25,0,0.9191267504676465,false,"""normal""","{""weightedPhysicalScore"":-48.83213463947578,""holdReward"":258.6719702516765,""touchdownPenalty"":0,""adjustedReward"":209.83983561220072,""strictHoldDeficitSeconds"":3,""eligiblePeakPeriapsisDeficitMetres"":549.9380968200039,""hasEligibleObservation"":true,""stableOrbit"":false,""progressVersusPhysicalFlags"":{""positivePWithoutStableOrbit"":true,""positivePWithoutCompletedOrbit"":true,""positivePWithoutLanding"":true,""fullPWithoutStableOrbit"":false,""fullHWithoutStableOrbit"":false,""stableOrbitWithoutFullH"":false},""fullOrbit"":false,""deorbit"":false,""atmosphericEntry"":false,""finalApproach"":false}","{""samples"":781,""firstTime"":0,""lastTime"":164.64999999999665,""trajectoryJSONSHA256"":""0565cc1c9ea7dd0d980b12ea9d09acfacf8a99ade22c0b652321b6e61e616c4d"",""coordinates"":""x/z deck-relative; y vehicle y"",""validation"":""Exact schema, finite arrays, action bounds, and increasing recorded pre-terminal times only"",""independentlyRegenerated"":false}"
"""standard""",3,3,0.4,196731218,24,1,-482.8789947228738,false,0,false,-0.06496809703280435,"""Flight left the recovery corridor""","{""level"":0.4,""mass"":1.0880568665025916,""thrust"":1.0077385566043775,""servo"":0.9307223720488103,""wind"":1.1125903792272236,""deck"":0.9797809910832043,""noise"":0.004}",null,173.19999999999646,false,0,12032.931692092809,"[{""name"":""Launch"",""time"":2.000000000000001,""altitude"":4.018488246628554},{""name"":""Space"",""time"":122.69999999999646,""altitude"":804.2105909577729}]",0.7939626353970373,1152.7551624764446,0.04132120135385805,249.58544162462965,0,248.8591974241026,0.5,0,0.9189498819741327,false,"""normal""","{""weightedPhysicalScore"":-48.287899472287386,""holdReward"":249.58544162462965,""touchdownPenalty"":0,""adjustedReward"":201.29754215234226,""strictHoldDeficitSeconds"":3,""eligiblePeakPeriapsisDeficitMetres"":551.1408025758974,""hasEligibleObservation"":true,""stableOrbit"":false,""progressVersusPhysicalFlags"":{""positivePWithoutStableOrbit"":true,""positivePWithoutCompletedOrbit"":true,""positivePWithoutLanding"":true,""fullPWithoutStableOrbit"":false,""fullHWithoutStableOrbit"":false,""stableOrbitWithoutFullH"":false},""fullOrbit"":false,""deorbit"":false,""atmosphericEntry"":false,""finalApproach"":false}","{""samples"":813,""firstTime"":0,""lastTime"":172.94999999999646,""trajectoryJSONSHA256"":""5c1cccd90be378ebda97e06557b3314ef1677323817e15254b830c64935752df"",""coordinates"":""x/z deck-relative; y vehicle y"",""validation"":""Exact schema, finite arrays, action bounds, and increasing recorded pre-terminal times only"",""independentlyRegenerated"":false}"
"""standard""",4,4,0.4,196835947,25,1,-485.3825725684519,false,0,false,0.03433366881630661,"""Flight left the recovery corridor""","{""level"":0.4,""mass"":0.9294778149429105,""thrust"":1.0085533707185999,""servo"":0.9591663438075412,""wind"":1.1015542750366645,""deck"":1.0460080491479353,""noise"":0.004}",null,144.29999999999762,false,0,12025.857463714072,"[{""name"":""Launch"",""time"":1.5500000000000007,""altitude"":4.220562734829677},{""name"":""Space"",""time"":98.54999999999764,""altitude"":816.7614700381334}]",0.8056814009135984,1166.8176810963182,0.045173733698110945,254.20848043773313,0,227.48431329871437,1.4999999999999147,0,0.9158065166615756,false,"""normal""","{""weightedPhysicalScore"":-48.53825725684519,""holdReward"":254.20848043773313,""touchdownPenalty"":0,""adjustedReward"":205.67022318088794,""strictHoldDeficitSeconds"":3,""eligiblePeakPeriapsisDeficitMetres"":572.5156867012856,""hasEligibleObservation"":true,""stableOrbit"":false,""progressVersusPhysicalFlags"":{""positivePWithoutStableOrbit"":true,""positivePWithoutCompletedOrbit"":true,""positivePWithoutLanding"":true,""fullPWithoutStableOrbit"":false,""fullHWithoutStableOrbit"":false,""stableOrbitWithoutFullH"":false},""fullOrbit"":false,""deorbit"":false,""atmosphericEntry"":false,""finalApproach"":false}","{""samples"":659,""firstTime"":0,""lastTime"":144.04999999999762,""trajectoryJSONSHA256"":""3b59e0f85a7c350ecac390b0d3d4e7dbc6da76645a22f10fcb1ca6f6f95f8e7b"",""coordinates"":""x/z deck-relative; y vehicle y"",""validation"":""Exact schema, finite arrays, action bounds, and increasing recorded pre-terminal times only"",""independentlyRegenerated"":false}"
"""standard""",5,5,0.4,196940676,26,1,-484.9734533940411,false,0,false,0.061330928364948877,"""Flight left the recovery corridor""","{""level"":0.4,""mass"":0.989577585945872,""thrust"":1.024200587541588,""servo"":1.2535082589618725,""wind"":0.9384985491697571,""deck"":0.9375033912298492,""noise"":0.004}",null,168.69999999999635,false,0,12006.905498813961,"[{""name"":""Launch"",""time"":1.6000000000000008,""altitude"":4.204961144800718},{""name"":""Space"",""time"":122.69999999999634,""altitude"":806.2095704910536}]",0.8039259153050771,1164.7110983660925,0.05271835750248179,263.2620290029781,0,212.51404242506487,4.39999999999975,0,0.9136050062389801,false,"""normal""","{""weightedPhysicalScore"":-48.49734533940411,""holdReward"":263.2620290029781,""touchdownPenalty"":0,""adjustedReward"":214.764683663574,""strictHoldDeficitSeconds"":3,""eligiblePeakPeriapsisDeficitMetres"":587.4859575749351,""hasEligibleObservation"":true,""stableOrbit"":false,""progressVersusPhysicalFlags"":{""positivePWithoutStableOrbit"":true,""positivePWithoutCompletedOrbit"":true,""positivePWithoutLanding"":true,""fullPWithoutStableOrbit"":false,""fullHWithoutStableOrbit"":false,""stableOrbitWithoutFullH"":false},""fullOrbit"":false,""deorbit"":false,""atmosphericEntry"":false,""finalApproach"":false}","{""samples"":814,""firstTime"":0,""lastTime"":168.19999999999635,""trajectoryJSONSHA256"":""fae7084f5621fe8af11f8012942d6693899d6bf2153e771c4ad3e587d2dd0ed1"",""coordinates"":""x/z deck-relative; y vehicle y"",""validation"":""Exact schema, finite arrays, action bounds, and increasing recorded pre-terminal times only"",""independentlyRegenerated"":false}"
"""quarter""",0,1,0,196417031,24,1,-483.70353666020577,false,0,false,-0.04113986199197789,"""Flight left the recovery corridor""","{""level"":0,""mass"":1,""thrust"":1,""servo"":1,""wind"":1,""deck"":1,""noise"":0}",null,154.14999999999714,false,0,12008.601614937394,"[{""name"":""Launch"",""time"":1.7500000000000009,""altitude"":4.16126340092886},{""name"":""Space"",""time"":106.64999999999714,""altitude"":816.3334401808662}]",0.8138930675728293,1176.6716810873952,0.05182883947068014,262.1946073648162,0,227.0936899802382,1.899999999999892,0,0.9157490720559174,false,"""normal""","{""weightedPhysicalScore"":-48.37035366602058,""holdReward"":262.1946073648162,""touchdownPenalty"":0,""adjustedReward"":213.82425369879562,""strictHoldDeficitSeconds"":3,""eligiblePeakPeriapsisDeficitMetres"":572.9063100197618,""hasEligibleObservation"":true,""stableOrbit"":false,""progressVersusPhysicalFlags"":{""positivePWithoutStableOrbit"":true,""positivePWithoutCompletedOrbit"":true,""positivePWithoutLanding"":true,""fullPWithoutStableOrbit"":false,""fullHWithoutStableOrbit"":false,""stableOrbitWithoutFullH"":false},""fullOrbit"":false,""deorbit"":false,""atmosphericEntry"":false,""finalApproach"":false}","{""samples"":720,""firstTime"":0,""lastTime"":153.89999999999714,""trajectoryJSONSHA256"":""e656233c7ea7e45a49b06971d580ed12ea2966b118162eea1b27599d492b5afe"",""coordinates"":""x/z deck-relative; y vehicle y"",""validation"":""Exact schema, finite arrays, action bounds, and increasing recorded pre-terminal times only"",""independentlyRegenerated"":false}"
"""quarter""",1,0,0,196521760,25,1,-480.9706691594882,false,0,false,-0.07086730913735119,"""Flight left the recovery corridor""","{""level"":0,""mass"":1,""thrust"":1,""servo"":1,""wind"":1,""deck"":1,""noise"":0}",null,152.89999999999725,false,0,12046.138510288585,"[{""name"":""Launch"",""time"":1.7500000000000009,""altitude"":4.177179271978586},{""name"":""Space"",""time"":105.64999999999726,""altitude"":806.2441350278093}]",0.8064418392413911,1167.7302070896694,0.0474100258402676,256.8920310083211,0,233.40839677975146,1.4499999999999176,0,0.916677705408787,false,"""normal""","{""weightedPhysicalScore"":-48.09706691594882,""holdReward"":256.8920310083211,""touchdownPenalty"":0,""adjustedReward"":208.79496409237228,""strictHoldDeficitSeconds"":3,""eligiblePeakPeriapsisDeficitMetres"":566.5916032202485,""hasEligibleObservation"":true,""stableOrbit"":false,""progressVersusPhysicalFlags"":{""positivePWithoutStableOrbit"":true,""positivePWithoutCompletedOrbit"":true,""positivePWithoutLanding"":true,""fullPWithoutStableOrbit"":false,""fullHWithoutStableOrbit"":false,""stableOrbitWithoutFullH"":false},""fullOrbit"":false,""deorbit"":false,""atmosphericEntry"":false,""finalApproach"":false}","{""samples"":707,""firstTime"":0,""lastTime"":152.64999999999725,""trajectoryJSONSHA256"":""da8c5c72c8777ae80c5ba36deeaf9ff9013544deb6c95abd30357027162a8131"",""coordinates"":""x/z deck-relative; y vehicle y"",""validation"":""Exact schema, finite arrays, action bounds, and increasing recorded pre-terminal times only"",""independentlyRegenerated"":false}"
"""quarter""",2,2,0,196626489,26,1,-488.32134639475777,false,0,false,0.0543941235554883,"""Flight left the recovery corridor""","{""level"":0,""mass"":1,""thrust"":1,""servo"":1,""wind"":1,""deck"":1,""noise"":0}",null,164.89999999999665,false,0,12044.44947273144,"[{""name"":""Launch"",""time"":1.7000000000000008,""altitude"":4.179411213294857},{""name"":""Space"",""time"":117.14999999999665,""altitude"":814.5271677522493}]",0.7891526060881351,1146.983127305762,0.04889330854306375,258.6719702516765,0,250.06190317999608,1.25,0,0.9191267504676465,false,"""normal""","{""weightedPhysicalScore"":-48.83213463947578,""holdReward"":258.6719702516765,""touchdownPenalty"":0,""adjustedReward"":209.83983561220072,""strictHoldDeficitSeconds"":3,""eligiblePeakPeriapsisDeficitMetres"":549.9380968200039,""hasEligibleObservation"":true,""stableOrbit"":false,""progressVersusPhysicalFlags"":{""positivePWithoutStableOrbit"":true,""positivePWithoutCompletedOrbit"":true,""positivePWithoutLanding"":true,""fullPWithoutStableOrbit"":false,""fullHWithoutStableOrbit"":false,""stableOrbitWithoutFullH"":false},""fullOrbit"":false,""deorbit"":false,""atmosphericEntry"":false,""finalApproach"":false}","{""samples"":781,""firstTime"":0,""lastTime"":164.64999999999665,""trajectoryJSONSHA256"":""0565cc1c9ea7dd0d980b12ea9d09acfacf8a99ade22c0b652321b6e61e616c4d"",""coordinates"":""x/z deck-relative; y vehicle y"",""validation"":""Exact schema, finite arrays, action bounds, and increasing recorded pre-terminal times only"",""independentlyRegenerated"":false}"
"""quarter""",3,3,0.4,196731218,24,1,-482.8789947228738,false,0,false,-0.06496809703280435,"""Flight left the recovery corridor""","{""level"":0.4,""mass"":1.0880568665025916,""thrust"":1.0077385566043775,""servo"":0.9307223720488103,""wind"":1.1125903792272236,""deck"":0.9797809910832043,""noise"":0.004}",null,173.19999999999646,false,0,12032.931692092809,"[{""name"":""Launch"",""time"":2.000000000000001,""altitude"":4.018488246628554},{""name"":""Space"",""time"":122.69999999999646,""altitude"":804.2105909577729}]",0.7939626353970373,1152.7551624764446,0.04132120135385805,249.58544162462965,0,248.8591974241026,0.5,0,0.9189498819741327,false,"""normal""","{""weightedPhysicalScore"":-48.287899472287386,""holdReward"":249.58544162462965,""touchdownPenalty"":0,""adjustedReward"":201.29754215234226,""strictHoldDeficitSeconds"":3,""eligiblePeakPeriapsisDeficitMetres"":551.1408025758974,""hasEligibleObservation"":true,""stableOrbit"":false,""progressVersusPhysicalFlags"":{""positivePWithoutStableOrbit"":true,""positivePWithoutCompletedOrbit"":true,""positivePWithoutLanding"":true,""fullPWithoutStableOrbit"":false,""fullHWithoutStableOrbit"":false,""stableOrbitWithoutFullH"":false},""fullOrbit"":false,""deorbit"":false,""atmosphericEntry"":false,""finalApproach"":false}","{""samples"":813,""firstTime"":0,""lastTime"":172.94999999999646,""trajectoryJSONSHA256"":""5c1cccd90be378ebda97e06557b3314ef1677323817e15254b830c64935752df"",""coordinates"":""x/z deck-relative; y vehicle y"",""validation"":""Exact schema, finite arrays, action bounds, and increasing recorded pre-terminal times only"",""independentlyRegenerated"":false}"
